,0
0,American Samoa
1,United States Minor Outlying Islands
2,Cook Islands
3,French Polynesia
4,Niue
5,Pitcairn
6,Samoa
7,Tokelau
8,Tonga
9,Wallis and Futuna
10,El Salvador
11,Guatemala
12,Mexico
13,Canada
14,Argentina
15,Falkland Islands
16,Chile
17,Ecuador
18,Peru
19,Bolivia
20,Brazil
21,Paraguay
22,Uruguay
23,South Georgia and South Sandwich Islands
24,Antarctica
25,Fiji
26,Saint Helena
27,Anguilla
28,Antigua and Barbuda
29,Aruba
30,Bahamas
31,Barbados
32,Belize
33,Bermuda
34,Bonaire
35,British Virgin Islands
36,Cayman Islands
37,Colombia
38,Costa Rica
39,Cuba
40,Curacao
41,Dominica
42,Dominican Republic
43,French Guiana
44,Grenada
45,Guadeloupe
46,Guyana
47,Haiti
48,Honduras
49,Jamaica
50,Martinique
51,Montserrat
52,Nicaragua
53,Panama
54,Puerto Rico
55,Saba
56,Saint Barthelemy
57,Saint Eustatius
58,Saint Kitts and Nevis
59,Saint Lucia
60,Saint Martin
61,Saint Pierre and Miquelon
62,Saint Vincent and the Grenadines
63,Sint Maarten
64,Suriname
65,Trinidad and Tobago
66,Turks and Caicos Islands
67,US Virgin Islands
68,Venezuela
69,Burkina Faso
70,Cabo Verde
71,Côte d'Ivoire
72,Gambia
73,Ghana
74,Gibraltar
75,Guinea
76,Guinea-Bissau
77,Liberia
78,Mali
79,Mauritania
80,Morocco
81,Portugal
82,Senegal
83,Sierra Leone
84,Greenland
85,Guernsey
86,Ireland
87,Isle of Man
88,Jersey
89,United Kingdom
90,Iceland
91,Faroe Islands
92,Svalbard
93,Bouvet Island
94,New Zealand
95,Angola
96,Botswana
97,Burundi
98,Comoros
99,Congo
100,Congo DRC
101,Gabon
102,Kenya
103,Lesotho
104,Malawi
105,Juan De Nova Island
106,Mozambique
107,Namibia
108,Rwanda
109,Sao Tome and Principe
110,South Africa
111,Eswatini
112,Tanzania
113,Zambia
114,Zimbabwe
115,British Indian Ocean Territory
116,French Southern Territories
117,Heard Island and McDonald Islands
118,Madagascar
119,Mauritius
120,Mayotte
121,Glorioso Islands
122,Réunion
123,Seychelles
124,Algeria
125,Benin
126,Cameroon
127,Central African Republic
128,Chad
129,Equatorial Guinea
130,Kiribati
131,Libya
132,Malta
133,Niger
134,Nigeria
135,Togo
136,Tunisia
137,Cyprus
138,Djibouti
139,Eritrea
140,Ethiopia
141,Greece
142,Iraq
143,Israel
144,Jordan
145,Lebanon
146,Palestinian Territory
147,South Sudan
148,Sudan
149,Syria
150,Turkey
151,Uganda
152,Andorra
153,United States
154,France
155,Liechtenstein
156,Monaco
157,Switzerland
158,Belgium
159,Germany
160,Luxembourg
161,Netherlands
162,Albania
163,Austria
164,Bosnia and Herzegovina
165,Croatia
166,Czech Republic
167,Denmark
168,Hungary
169,Italy
170,Montenegro
171,Poland
172,San Marino
173,Serbia
174,Slovakia
175,Slovenia
176,North Macedonia
177,Vatican City
178,Norway
179,Sweden
180,Belarus
181,Bulgaria
182,Estonia
183,Finland
184,Georgia
185,Latvia
186,Lithuania
187,Moldova
188,Romania
189,Ukraine
190,Afghanistan
191,Bahrain
192,Iran
193,Kuwait
194,Maldives
195,Oman
196,Pakistan
197,Qatar
198,Somalia
199,Tajikistan
200,Turkmenistan
201,United Arab Emirates
202,Yemen
203,Armenia
204,Azerbaijan
205,Kazakhstan
206,Kyrgyzstan
207,Uzbekistan
208,Christmas Island
209,Cocos Islands
210,Indonesia
211,Timor-Leste
212,Nauru
213,New Caledonia
214,Norfolk Island
215,Papua New Guinea
216,Solomon Islands
217,Tuvalu
218,Vanuatu
219,Cambodia
220,Laos
221,Malaysia
222,Myanmar
223,Singapore
224,Thailand
225,Vietnam
226,Bangladesh
227,Bhutan
228,Brunei Darussalam
229,Philippines
230,South Korea
231,Mongolia
232,North Korea
233,Guam
234,Japan
235,Marshall Islands
236,Micronesia
237,Northern Mariana Islands
238,Palau
239,Russian Federation
240,Spain
241,Canarias
